0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11:50,Fin,ATP-S,AUS-OPEN,R128,,SHAPOVALOV D. (CAN),11,,SINNER J. (ITA),,3-6,6-3,6-2,4-6,6-4,3-2,,
11:35,Fin,ATP-S,AUS-OPEN,R128,,DJOKOVIC N. (SRB),1,,CHARDY J. (FRA),,6-3,6-1,6-2,,,3-0,,
11:00,Fin,ATP-S,AUS-OPEN,R128,,DANIEL T. (JPN),LL,,CRESSY M. (USA),Q,6-7,6-7,4-6,,,0-3,,
10:15,Fin,ATP-S,AUS-OPEN,R128,,FERREIRA SILVA F. (POR),Q,,KYRGIOS N. (AUS),,4-6,4-6,4-6,,,0-3,,
09:45,P1Ret,ATP-S,AUS-OPEN,R128,,SUGITA Y. (JPN),,,TOMIC B. (AUS),Q,6-3,1-6,1-4,,,1-1,,
08:55,Fin,ATP-S,AUS-OPEN,R128,,STEBE C-M. (GER),LL,,AUGER-ALIASSIME F. (CAN),20,2-6,4-6,2-6,,,0-3,,
08:55,Fin,ATP-S,AUS-OPEN,R128,,YMER E. (SWE),Q,,SCHWARTZMAN D. (ARG),8,6-7,4-6,6-2,2-6,,1-3,,
08:50,Fin,ATP-S,AUS-OPEN,R128,,DIMITROV G. (BUL),18,,CILIC M. (CRO),,6-4,6-2,7-6,,,3-0,,
08:50,Fin,ATP-S,AUS-OPEN,R128,,KOEPFER D. (GER),,,DELLIEN H. (BOL),LL,7-5,6-2,6-4,,,3-0,,
08:50,Fin,ATP-S,AUS-OPEN,R128,,STAKHOVSKY S. (UKR),Q,,LAJOVIC D. (SRB),23,7-5,4-6,3-6,7-5,4-6,2-3,,
08:20,Fin,ATP-S,AUS-OPEN,R128,,TIAFOE F. (USA),,,TRAVAGLIA S. (ITA),,7-6,6-2,6-2,,,3-0,,
08:00,Fin,ATP-S,AUS-OPEN,R128,,NISHIKORI K. (JPN),,,CARRENO BUSTA P. (ESP),15,5-7,6-7,2-6,,,0-3,,
07:25,Fin,ATP-S,AUS-OPEN,R128,,MULLER A. (FRA),LL,,LONDERO J.I. (ARG),,4-6,6-3,6-0,6-3,,3-1,,
07:15,Fin,ATP-S,AUS-OPEN,R128,,COPPEJANS K. (BEL),Q,,VESELY J. (CZE),,4-6,6-3,7-6,3-6,3-6,2-3,,
07:15,Fin,ATP-S,AUS-OPEN,R128,,UCHIYAMA Y. (JPN),,,HUMBERT U. (FRA),29,3-6,4-6,7-6,3-6,,1-3,,
(07:00),Canc,ATP-S,AUS-OPEN,R128,,DELBONIS F. (ARG),,,LONDERO J.I. (ARG),,,,,,,,,
06:50,Fin,ATP-S,AUS-OPEN,R128,,DZUMHUR D. (BIH),LL,,DUCKWORTH J. (AUS),,3-6,2-6,4-6,,,0-3,,
06:20,Fin,ATP-S,AUS-OPEN,R128,,PAIRE B. (FRA),25,,GERASIMOV E. (BLR),,2-6,6-2,6-7,5-7,,1-3,,
06:10,Fin,ATP-S,AUS-OPEN,R128,,BEDENE A. (SLO),,,BUBLIK A. (KAZ),,4-6,5-7,7-5,4-6,,1-3,,
05:45,Fin,ATP-S,AUS-OPEN,R128,,GIRON M. (USA),,,ZVEREV A. (GER),6,7-6,6-7,3-6,2-6,,1-3,,
05:15,Fin,ATP-S,AUS-OPEN,R128,,KECMANOVIC M. (SRB),,,MAJCHRZAK K. (POL),,6-2,6-4,6-3,,,3-0,,
05:10,Fin,ATP-S,AUS-OPEN,R128,,MAGER G. (ITA),,,KARATSEV A. (RUS),Q,3-6,3-6,4-6,,,0-3,,
05:05,Fin,ATP-S,AUS-OPEN,R128,,THIEM D. (AUT),3,,KUKUSHKIN M. (KAZ),,7-6,6-2,6-3,,,3-0,,
04:20,Fin,ATP-S,AUS-OPEN,R128,,FUCSOVICS M. (HUN),,,POLMANS M. (AUS),WC,4-6,6-3,6-1,6-7,6-3,3-2,,
04:15,Fin,ATP-S,AUS-OPEN,R128,,NISHIOKA Y. (JPN),,,MARTINEZ P. (ESP),,7-6,1-6,1-6,1-6,,1-3,,
04:15,Fin,ATP-S,AUS-OPEN,R128,,RAMOS-VINOLAS A. (ESP),,,FRITZ T. (USA),27,6-7,6-3,2-6,6-7,,1-3,,
03:55,Fin,ATP-S,AUS-OPEN,R128,,BOLT A. (AUS),WC,,GOMBOS N. (SVK),,6-2,6-2,4-6,6-3,,3-1,,
03:10,Fin,ATP-S,AUS-OPEN,R128,,WAWRINKA S. (SUI),17,,SOUSA P. (POR),,6-3,6-2,6-4,,,3-0,,
02:10,Fin,ATP-S,AUS-OPEN,R128,,CORIA F. (ARG),,,RAONIC M. (CAN),14,3-6,3-6,2-6,,,0-3,,
02:10,Fin,ATP-S,AUS-OPEN,R128,,MANNARINO A. (FRA),32,,NOVAK D. (AUT),,6-2,6-4,7-6,,,3-0,,
02:10,Fin,ATP-S,AUS-OPEN,R128,,MONFILS G. (FRA),10,,RUUSUVUORI E. (FIN),,6-3,4-6,5-7,6-3,3-6,2-3,,
02:10,Fin,ATP-S,AUS-OPEN,R128,,MOUTET C. (FRA),,,MILLMAN J. (AUS),,6-4,6-7,3-6,6-2,6-3,3-2,,
02:10,Fin,ATP-S,AUS-OPEN,R128,,OPELKA R. (USA),,,LU Y. (TPE),,6-3,7-6,6-3,,,3-0,,
11:25,Fin,ATP-S,AUS-OPEN,R128,,TSITSIPAS S. (GRE),5,,SIMON G. (FRA),,6-1,6-2,6-1,,,3-0,,
10:20,Fin,ATP-S,AUS-OPEN,R128,,IVASHKA I. (BLR),,,SAFIULLIN R. (RUS),Q,4-6,3-6,4-6,,,0-3,,
10:15,Fin,ATP-S,AUS-OPEN,R128,,ANDERSON K. (RSA),,,BERRETTINI M. (ITA),9,6-7,5-7,3-6,,,0-3,,
09:50,Fin,ATP-S,AUS-OPEN,R128,,KOKKINAKIS T. (AUS),WC,,KWON S-W. (KOR),,6-4,6-1,6-1,,,3-0,,
09:30,P2Ret,ATP-S,AUS-OPEN,R128,,RUUD C. (NOR),24,,THOMPSON J. (AUS),,6-3,6-3,2-1,,,2-0,,
09:10,Fin,ATP-S,AUS-OPEN,R128,,FOGNINI F. (ITA),16,,HERBERT P-H. (FRA),,6-4,6-2,6-3,,,3-0,,
08:25,P2Ret,ATP-S,AUS-OPEN,R128,,MACHAC T. (CZE),Q,,VILELLA MARTINEZ M. (ESP),Q,6-7,7-5,6-0,3-0,,2-1,,
08:05,Fin,ATP-S,AUS-OPEN,R128,,EVANS D. (GBR),30,,NORRIE C. (GBR),,4-6,6-4,4-6,5-7,,1-3,,
07:50,Fin,ATP-S,AUS-OPEN,R128,,CARBALLES BAENA R. (ESP),,,BALAZS A. (HUN),,7-5,3-6,6-2,6-3,,3-1,,
07:10,Fin,ATP-S,AUS-OPEN,R128,,SANDGREN T. (USA),,,DE MINAUR A. (AUS),21,5-7,1-6,1-6,,,0-3,,
06:55,Fin,ATP-S,AUS-OPEN,R128,,MMOH M. (USA),Q,,TROICKI V. (SRB),Q,7-6,6-7,3-6,7-6,7-5,3-2,,
06:30,Fin,ATP-S,AUS-OPEN,R128,,LAAKSONEN H. (SUI),Q,,CARUSO S. (ITA),,2-6,4-6,3-6,,,0-3,,
06:20,Fin,ATP-S,AUS-OPEN,R128,,BASILASHVILI N. (GEO),,,PAUL T. (USA),,4-6,6-7,4-6,,,0-3,,
06:20,Fin,ATP-S,AUS-OPEN,R128,,DJERE L. (SRB),,,NADAL R. (ESP),2,3-6,4-6,1-6,,,0-3,,
05:55,Fin,ATP-S,AUS-OPEN,R128,,QUERREY S. (USA),,,SONEGO L. (ITA),31,5-7,4-6,4-6,,,0-3,,
05:45,Fin,ATP-S,AUS-OPEN,R128,,POSPISIL V. (CAN),,,MEDVEDEV D. (RUS),4,2-6,2-6,4-6,,,0-3,,
05:45,Fin,ATP-S,AUS-OPEN,R128,,TU L. (AUS),WC,,LOPEZ F. (ESP),,7-6,4-6,6-7,4-6,,1-3,,
05:40,Fin,ATP-S,AUS-OPEN,R128,,BERANKIS R. (LTU),,,NAGAL S. (IND),WC,6-2,7-5,6-3,,,3-0,,
05:15,Fin,ATP-S,AUS-OPEN,R128,,ANDUJAR P. (ESP),,,HALYS Q. (FRA),Q,6-4,7-5,7-5,,,3-0,,
05:00,Fin,ATP-S,AUS-OPEN,R128,,KRAJINOVIC F. (SRB),28,,HAASE R. (NED),LL,7-6,6-3,4-6,6-2,,3-1,,
04:50,Fin,ATP-S,AUS-OPEN,R128,,ALBOT R. (MDA),,,BAUTISTA AGUT R. (ESP),12,6-7,6-0,6-4,7-6,,3-1,,
04:50,Fin,ATP-S,AUS-OPEN,R128,,CUEVAS P. (URU),,,SEPPI A. (ITA),,6-4,4-6,6-2,6-2,,3-1,,
04:35,Fin,ATP-S,AUS-OPEN,R128,,KHACHANOV K. (RUS),19,,VUKIC A. (AUS),WC,6-3,6-7,7-6,6-4,,3-1,,
04:20,Fin,ATP-S,AUS-OPEN,R128,,GOFFIN D. (BEL),13,,POPYRIN A. (AUS),WC,6-3,4-6,7-6,6-7,3-6,2-3,,
03:10,Fin,ATP-S,AUS-OPEN,R128,,RUBLEV A. (RUS),7,,HANFMANN Y. (GER),,6-3,6-3,6-4,,,3-0,,
02:10,Fin,ATP-S,AUS-OPEN,R128,,HARRIS L. (RSA),,,TORPEGAARD M. (DEN),WC,4-6,6-3,6-2,6-2,,3-1,,
02:10,Fin,ATP-S,AUS-OPEN,R128,,MCDONALD M. (USA),PR,,CECCHINATO M. (ITA),,3-6,6-3,6-2,6-2,,3-1,,
02:10,Fin,ATP-S,AUS-OPEN,R128,,MONTEIRO T. (BRA),,,MARTIN A. (SVK),,7-6,6-1,6-2,,,3-0,,
02:10,Fin,ATP-S,AUS-OPEN,R128,,O CONNELL C. (AUS),WC,,STRUFF J-L. (GER),,7-6,7-6,6-1,,,3-0,,
02:10,Fin,ATP-S,AUS-OPEN,R128,,PELLA G. (ARG),,,CORIC B. (CRO),22,3-6,6-7,5-7,,,0-3,,
02:10,Fin,ATP-S,AUS-OPEN,R128,,VAN DE ZANDSCHULP B. (NED),Q,,ALCARAZ C. (ESP),Q,1-6,4-6,4-6,,,0-3,,
02:10,Fin,ATP-S,AUS-OPEN,R128,,YMER M. (SWE),,,HURKACZ H. (POL),26,3-6,6-3,3-6,7-5,6-3,3-2,,
13:10,Fin,ATP-S,AUS-OPEN,R64,,DIMITROV G. (BUL),18,,BOLT A. (AUS),WC,7-6,6-1,6-2,,,3-0,,
11:45,Fin,ATP-S,AUS-OPEN,R64,,CRESSY M. (USA),Q,,ZVEREV A. (GER),6,5-7,4-6,3-6,,,0-3,,
10:45,Fin,ATP-S,AUS-OPEN,R64,,KYRGIOS N. (AUS),,,HUMBERT U. (FRA),29,5-7,6-4,3-6,7-6,6-4,3-2,,
10:00,Fin,ATP-S,AUS-OPEN,R64,,VESELY J. (CZE),,,CARRENO BUSTA P. (ESP),15,3-6,6-7,6-2,4-6,,1-3,,
09:45,Fin,ATP-S,AUS-OPEN,R64,,MANNARINO A. (FRA),32,,KECMANOVIC M. (SRB),,6-1,6-2,6-4,,,3-0,,
07:15,Fin,ATP-S,AUS-OPEN,R64,,SHAPOVALOV D. (CAN),11,,TOMIC B. (AUS),Q,6-1,6-3,6-2,,,3-0,,
06:55,Fin,ATP-S,AUS-OPEN,R64,,OPELKA R. (USA),,,FRITZ T. (USA),27,6-4,6-7,7-6,6-7,2-6,2-3,,
06:35,Fin,ATP-S,AUS-OPEN,R64,,BUBLIK A. (KAZ),,,LAJOVIC D. (SRB),23,4-6,6-7,6-4,3-6,,1-3,,
06:25,Fin,ATP-S,AUS-OPEN,R64,,THIEM D. (AUT),3,,KOEPFER D. (GER),,6-4,6-0,6-2,,,3-0,,
05:50,Fin,ATP-S,AUS-OPEN,R64,,DJOKOVIC N. (SRB),1,,TIAFOE F. (USA),,6-3,6-7,7-6,6-3,,3-1,,
04:55,Fin,ATP-S,AUS-OPEN,R64,,MOUTET C. (FRA),,,RAONIC M. (CAN),14,7-6,1-6,1-6,4-6,,1-3,,
03:45,Fin,ATP-S,AUS-OPEN,R64,,DUCKWORTH J. (AUS),,,AUGER-ALIASSIME F. (CAN),20,4-6,1-6,2-6,,,0-3,,
03:45,Fin,ATP-S,AUS-OPEN,R64,,MULLER A. (FRA),LL,,SCHWARTZMAN D. (ARG),8,2-6,0-6,3-6,,,0-3,,
03:40,Fin,ATP-S,AUS-OPEN,R64,,RUUSUVUORI E. (FIN),,,MARTINEZ P. (ESP),,6-1,3-6,2-6,6-7,,1-3,,
03:15,Fin,ATP-S,AUS-OPEN,R64,,WAWRINKA S. (SUI),17,,FUCSOVICS M. (HUN),,5-7,1-6,6-4,6-2,6-7,2-3,,
02:10,Fin,ATP-S,AUS-OPEN,R64,,GERASIMOV E. (BLR),,,KARATSEV A. (RUS),Q,0-6,1-6,0-6,,,0-3,,
12:45,Fin,ATP-S,AUS-OPEN,R64,,MMOH M. (USA),Q,,NADAL R. (ESP),2,1-6,4-6,2-6,,,0-3,,
12:25,Fin,ATP-S,AUS-OPEN,R64,,CARBALLES BAENA R. (ESP),,,MEDVEDEV D. (RUS),4,2-6,5-7,1-6,,,0-3,,
10:15,Fin,ATP-S,AUS-OPEN,R64,,CUEVAS P. (URU),,,DE MINAUR A. (AUS),21,3-6,3-6,5-7,,,0-3,,
09:25,Fin,ATP-S,AUS-OPEN,R64,,NORRIE C. (GBR),,,SAFIULLIN R. (RUS),Q,3-6,7-5,6-3,7-6,,3-1,,
08:10,Fin,ATP-S,AUS-OPEN,R64,,FOGNINI F. (ITA),16,,CARUSO S. (ITA),,4-6,6-2,2-6,6-3,7-6,3-2,,
06:55,Fin,ATP-S,AUS-OPEN,R64,,O CONNELL C. (AUS),WC,,ALBOT R. (MDA),,2-6,5-7,6-7,,,0-3,,
06:35,Fin,ATP-S,AUS-OPEN,R64,,MACHAC T. (CZE),Q,,BERRETTINI M. (ITA),9,3-6,2-6,6-4,3-6,,1-3,,
06:35,Fin,ATP-S,AUS-OPEN,R64,,MCDONALD M. (USA),PR,,CORIC B. (CRO),22,6-4,6-2,4-6,6-4,,3-1,,
05:55,Fin,ATP-S,AUS-OPEN,R64,,TSITSIPAS S. (GRE),5,,KOKKINAKIS T. (AUS),WC,6-7,6-4,6-1,6-7,6-4,3-2,,
05:50,Fin,ATP-S,AUS-OPEN,R64,,KRAJINOVIC F. (SRB),28,,ANDUJAR P. (ESP),,6-2,5-7,6-1,6-4,,3-1,,
04:10,Fin,ATP-S,AUS-OPEN,R64,,KHACHANOV K. (RUS),19,,BERANKIS R. (LTU),,6-2,6-4,6-4,,,3-0,,
03:50,Fin,ATP-S,AUS-OPEN,R64,,RUUD C. (NOR),24,,PAUL T. (USA),,3-6,6-2,6-4,7-5,,3-1,,
03:40,Fin,ATP-S,AUS-OPEN,R64,,ALCARAZ C. (ESP),Q,,YMER M. (SWE),,6-2,4-6,4-6,6-7,,1-3,,
03:35,Fin,ATP-S,AUS-OPEN,R64,,POPYRIN A. (AUS),WC,,HARRIS L. (RSA),,2-6,6-1,3-6,7-6,3-6,2-3,,
03:10,Fin,ATP-S,AUS-OPEN,R64,,RUBLEV A. (RUS),7,,MONTEIRO T. (BRA),,6-4,6-4,7-6,,,3-0,,
02:10,Fin,ATP-S,AUS-OPEN,R64,,LOPEZ F. (ESP),,,SONEGO L. (ITA),31,5-7,3-6,6-3,7-5,6-4,3-2,,
11:45,Fin,ATP-S,AUS-OPEN,R32,,DJOKOVIC N. (SRB),1,,FRITZ T. (USA),27,7-6,6-4,3-6,4-6,6-2,3-2,,
10:20,Fin,ATP-S,AUS-OPEN,R32,,THIEM D. (AUT),3,,KYRGIOS N. (AUS),,4-6,4-6,6-3,6-4,6-4,3-2,,
10:10,Fin,ATP-S,AUS-OPEN,R32,,SHAPOVALOV D. (CAN),11,,AUGER-ALIASSIME F. (CAN),20,5-7,5-7,3-6,,,0-3,,
08:15,Fin,ATP-S,AUS-OPEN,R32,,FUCSOVICS M. (HUN),,,RAONIC M. (CAN),14,6-7,7-5,2-6,2-6,,1-3,,
08:10,Fin,ATP-S,AUS-OPEN,R32,,KARATSEV A. (RUS),Q,,SCHWARTZMAN D. (ARG),8,6-3,6-3,6-3,,,3-0,,
06:45,Fin,ATP-S,AUS-OPEN,R32,,MARTINEZ P. (ESP),,,LAJOVIC D. (SRB),23,7-6,5-7,1-6,4-6,,1-3,,
06:20,Fin,ATP-S,AUS-OPEN,R32,,MANNARINO A. (FRA),32,,ZVEREV A. (GER),6,3-6,3-6,1-6,,,0-3,,
05:10,P2Ret,ATP-S,AUS-OPEN,R32,,DIMITROV G. (BUL),18,,CARRENO BUSTA P. (ESP),15,6-0,1-0,,,,1-0,,
12:00,Fin,ATP-S,AUS-OPEN,R32,,FOGNINI F. (ITA),16,,DE MINAUR A. (AUS),21,6-4,6-3,6-4,,,3-0,,
12:00,Fin,ATP-S,AUS-OPEN,R32,,NORRIE C. (GBR),,,NADAL R. (ESP),2,5-7,2-6,5-7,,,0-3,,
08:25,Fin,ATP-S,AUS-OPEN,R32,,KHACHANOV K. (RUS),19,,BERRETTINI M. (ITA),9,6-7,6-7,6-7,,,0-3,,
06:50,Fin,ATP-S,AUS-OPEN,R32,,RUBLEV A. (RUS),7,,LOPEZ F. (ESP),,7-5,6-2,6-3,,,3-0,,
06:30,Fin,ATP-S,AUS-OPEN,R32,,TSITSIPAS S. (GRE),5,,YMER M. (SWE),,6-4,6-1,6-1,,,3-0,,
04:25,Fin,ATP-S,AUS-OPEN,R32,,KRAJINOVIC F. (SRB),28,,MEDVEDEV D. (RUS),4,3-6,3-6,6-4,6-3,0-6,2-3,,
04:05,Fin,ATP-S,AUS-OPEN,R32,,HARRIS L. (RSA),,,MCDONALD M. (USA),PR,6-7,1-6,4-6,,,0-3,,
03:45,Fin,ATP-S,AUS-OPEN,R32,,RUUD C. (NOR),24,,ALBOT R. (MDA),,6-1,5-7,6-4,6-4,,3-1,,
12:30,Fin,ATP-S,AUS-OPEN,R16,,DJOKOVIC N. (SRB),1,,RAONIC M. (CAN),14,7-6,4-6,6-1,6-4,,3-1,,
09:45,Fin,ATP-S,AUS-OPEN,R16,,LAJOVIC D. (SRB),23,,ZVEREV A. (GER),6,4-6,6-7,3-6,,,0-3,,
07:05,Fin,ATP-S,AUS-OPEN,R16,,THIEM D. (AUT),3,,DIMITROV G. (BUL),18,4-6,4-6,0-6,,,0-3,,
03:40,Fin,ATP-S,AUS-OPEN,R16,,AUGER-ALIASSIME F. (CAN),20,,KARATSEV A. (RUS),Q,6-3,6-1,3-6,3-6,4-6,2-3,,
11:30,P1WO,ATP-S,AUS-OPEN,R16,,TSITSIPAS S. (GRE),5,,BERRETTINI M. (ITA),9,,,,,,,,
06:25,Fin,ATP-S,AUS-OPEN,R16,,FOGNINI F. (ITA),16,,NADAL R. (ESP),2,3-6,4-6,2-6,,,0-3,,
05:55,P2Ret,ATP-S,AUS-OPEN,R16,,RUBLEV A. (RUS),7,,RUUD C. (NOR),24,6-2,7-6,,,,2-0,,
04:05,Fin,ATP-S,AUS-OPEN,R16,,MCDONALD M. (USA),PR,,MEDVEDEV D. (RUS),4,4-6,2-6,3-6,,,0-3,,
